type,lat,lng,,,
Coal Mining,-32.820581,151.607319,,,
Oil and Gas Extraction,-23.755,151.19,,,
Coal Mining,-34.16374,150.789964,,,
Oil and Gas Extraction,-21.5166666667,114.116666667,,,
Oil and Gas Extraction,-25.34652273,148.88479811,,,
Coal Mining,-32.481769,151.142824,,,
Coal Mining,-32.87597,151.300387,,,
Oil and Gas Extraction,-27.39211,141.809567,,,
Coal Mining,-24.154572,149.800279,,,
Oil and Gas Extraction,-38.169589,148.422394,,,
Coal Mining,-24.327322,150.618301,,,
Coal Mining,-32.276943,150.827249,,,
Oil and Gas Extraction,-28.237955,140.273762,,,
Coal Mining,-23.73,148.791667,,,
Coal Mining,-22.688152,147.518598,,,
Coal Mining,-30.611544,150.163493,,,
Coal Mining,-32.676997,151.090884,,,
Coal Mining,-32.676997,151.090884,,,
Coal Mining,-21.632839,148.115713,,,
Coal Mining,-21.3168,147.843,,,
Coal Mining,-22.953171,148.571092,,,
Coal Mining,-21.969722,148.2425,,,
Coal Mining,-21.95,146.629,,,
Coal Mining,-22.156908,148.059947,,,
Coal Mining,-22.953171,148.571092,,,
Coal Mining,-33.1631,151.5492,,,
Coal Mining,-22.709113,147.62937,,,
Coal Mining,-20.557987,147.802911,,,
Oil and Gas Extraction,-26.781804,150.206916,,,
Coal Mining,-23.71695,148.894636,,,
Coal Mining,-21.865952,148.421924,,,
Petroleum Refining and Petroleum Fuel Manufacturing,-32.227778,115.767222,,,
Coal Mining,-23.481781,148.855899,,,
Oil and Gas Extraction,-23.781719,151.213195,,,
Oil and Gas Extraction,-27.096833,150.93955,,,
Coal Mining,-32.197162,150.864743,,,
Oil and Gas Extraction,-12.522068,130.865867,,,
Coal Mining,-22.043056,148.2675,,,
Coal Mining,-24.623438,150.051083,,,
Coal Mining,-34.432,150.809,,,
Coal Mining,-20.6946,147.8279,,,
Coal Mining,-32.3544722,150.920556,,,
Coal Mining,-32.296976,151.944183,,,
Oil and Gas Extraction,-21.481496,113.988069,,,
Coal Mining,-23.46,148.526667,,,
Oil and Gas Extraction,-25.616371,148.924389,,,
Oil and Gas Extraction,-13.783333,123.316667,,,
Coal Mining,-22.98347,148.77843,,,
Petroleum Refining and Petroleum Fuel Manufacturing,-38.076224,144.379108,,,
Oil and Gas Extraction,-27.956846,140.034872,,,
Coal Mining,-21.762662,147.955906,,,
Oil and Gas Extraction,-20.79014,115.449486,,,
Oil and Gas Extraction,-20.79014,115.449486,,,
Oil and Gas Extraction,-20.79014,115.449486,,,
Coal Mining,-33.373975,116.24748,,,
Coal Mining,-21.9727,148.012,,,
Coal Mining,-21.488923,148.369134,,,
Coal Mining,-32.469337,150.986219,,,
Coal Mining,-32.337182,150.861779,,,
Coal Mining,-32.464946,151.130575,,,
Coal Mining,-21.962777,148.105555,,,
Coal Mining,-23.398845,148.943098,,,
Coal Mining,-23.237007,148.366555,,,
Coal Mining,-32.235104,151.035409,,,
Oil and Gas Extraction,-38.297752,145.571778,,,
Coal Mining,-32.375343,151.024951,,,
Oil and Gas Extraction,-26.673048,150.228514,,,
Coal Mining,-33.118935,151.463099,,,
Coal Mining,-32.261857,150.839356,,,
Coal Mining,-33.177634,151.540154,,,
Coal Mining,-30.565995,150.145947,,,
Coal Mining,-26.8055,151.90199,,,
Coal Mining,-34.187767,150.992103,,,
Coal Mining,-22.8626364667,148.64855521,,,
Coal Mining,-22.02665946,148.2467613,,,
Petroleum Refining and Petroleum Fuel Manufacturing,-37.851443,144.847354,,,
Oil and Gas Extraction,-12.676434,124.543847,,,
Coal Mining,-32.281574,149.764731,,,
Oil and Gas Extraction,-28.1124,140.205428,,,
Oil and Gas Extraction,-28.198511,140.18654,,,
Coal Mining,-21.9853,148.357185,,,
Coal Mining,-21.884558,147.964253,,,
Coal Mining,-32.25591661,150.8499847,,,
Coal Mining,-32.64319,151.085868,,,
Coal Mining,-32.393157,151.090601,,,
Coal Mining,-32.393157,151.090601,,,
Coal Mining,-33.06303,151.569748,,,
Coal Mining,-30.5199685,149.9022122,,,
Coal Mining,-27.274404,151.697693,,,
Coal Mining,-21.211524,147.897182,,,
Coal Mining,-32.976997,151.571532,,,
Oil and Gas Extraction,-21.403442,114.088153,,,
Coal Mining,-21.662935,147.95609,,,
Oil and Gas Extraction,-21.477222,113.979167,,,
Oil and Gas Extraction,-10.614444,125.985556,,,
Coal Mining,-22.753749,148.46093,,,
Coal Mining,-23.073,148.484,,,
Oil and Gas Extraction,-38.571887,143.038759,,,
Coal Mining,-22.259559,148.17841,,,
Oil and Gas Extraction,-26.010556,150.091944,,,
Oil and Gas Extraction,-19.996261,115.368216,,,
Coal Mining,-22.051389,148.255278,,,
Oil and Gas Extraction,-32.989097,137.769122,,,
Coal Mining,-33.396,116.274,,,
Oil and Gas Extraction,-23.76936,151.19882,,,
Coal Mining,-32.446667,151.021944,,,
Coal Mining,-32.428806,151.05575,,,
Oil and Gas Extraction,-26.348266,149.383329,,,
Petroleum Refining and Petroleum Fuel Manufacturing,-27.40848,153.154078,,,
Coal Mining,-32.48293,151.142781,,,
Coal Mining,-24.442938,148.414665,,,
Oil and Gas Extraction,-26.455621,149.024656,,,
Coal Mining,-34.358599,150.893375,,,
Coal Mining,-22.433056,148.278889,,,
Coal Mining,-34.249129,150.577068,,,
Coal Mining,-23.912778,148.062778,,,
Coal Mining,-20.638,147.856,,,
Oil and Gas Extraction,-25.448587,148.400075,,,
Coal Mining,-22.3,148.241389,,,
Oil and Gas Extraction,-25.947778,149.069167,,,
Oil and Gas Extraction,-13.9,123.3,,,
Oil and Gas Extraction,-26.8838,150.3484,,,
Coal Mining,-30.6359430421,150.163161083,,,
Oil and Gas Extraction,-27.4006944,151.116672,,,
Coal Mining,-32.239094,149.746968,,,
Coal Mining,-32.547889,150.992694,,,
Oil and Gas Extraction,-20.651389,115.576667,,,
Oil and Gas Extraction,-20.821389,115.393056,,,
Coal Mining,-32.568122,150.991427,,,
Coal Mining,-32.606432,151.075462,,,
Coal Mining,-31.386109,150.634974,,,
Coal Mining,-32.93394,151.567041,,,
Oil and Gas Extraction,-19.929383,115.38395,,,
Oil and Gas Extraction,-21.698143,115.001832,,,
Coal Mining,-27.049167,150.96,,,
Coal Mining,-32.269023,149.772981,,,
Coal Mining,-34.477663,150.75935,,,
Coal Mining,-23.273338,149.02297,,,