Value,Sector
0,
111,
112,
113,
114,
115,
116,
117,
120,
125,
130,
131,
132,
133,
134,
210,agriculture
220,lulucf
310,lulucf
311,lulucf
312,lulucf
313,lulucf
314,lulucf
320,agriculture
330,
331,
333,
334,
335,
336,
338,
340,
341,
343,
345,
348,
349,
353,
410,lulucf
411,lulucf
412,lulucf
413,lulucf
414,lulucf
420,agriculture
430,
431,
433,
434,
435,
436,
438,
439,
440,
441,
443,
445,
448,
449,
453,
510,
511,
512,
513,
514,
515,
520,agriculture
521,agriculture
522,agriculture
523,agriculture
524,agriculture
525,agriculture
526,agriculture
527,agriculture
528,
530,
531,
532,
533,
534,
535,
536,
537,
538,
540,
541,
542,agriculture
543,
544,
545,
550,
551,
552,
553,
554,
555,
560,
561,
562,
563,
564,
565,
566,
567,
570,
571,
572,
573,
574,
575,
580,
581,
582,
583,
584,
590,
591,
592,waste
593,waste
595,waste
600,
610,
611,
612,
613,
614,
620,
621,
622,
623,
630,
631,
632,
633,
640,
641,
642,
643,
650,
651,
652,
653,
654,
660,
661,
662,
663,